,overview,title,vote_average,Crime,Comedy,Adventure,Action,Science Fiction,Animation,Family,Drama,Romance,Music,Fantasy,Thriller,War,Western,Mystery,History,Horror,Documentary,Foreign,TV Movie
0,its ted the bellhops first night on the joband the hotels very unusual guests are about to place him in some outrageous predicaments it seems that this evenings room service is serving up one unbelievable happening after another,four rooms,6.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,princess leia is captured and held hostage by the evil imperial forces in their effort to take over the galactic empire venturesome luke skywalker and dashing captain han solo team together with the loveable robot duo r2d2 and c3po to rescue the beautiful princess and restore peace and justice in the empire,star wars,8.1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,nemo an adventurous young clownfish is unexpectedly taken from his great barrier reef home to a dentists office aquarium its up to his worrisome father marlin and a friendly but forgetful fish dory to bring nemo home  meeting vegetarian sharks surfer dude turtles hypnotic jellyfish hungry seagulls and more along the way,finding nemo,7.6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,a man with a low iq has accomplished great things in his life and been present during significant historic events  in each case far exceeding what anyone imagined he could do yet despite all the things he has attained his one true love eludes him forrest gump is the story of a man who rose above his challenges and who proved that determination courage and love are more important than ability,forrest gump,8.2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4,lester burnham a depressed suburban father in a midlife crisis decides to turn his hectic life around after developing an infatuation with his daughters attractive friend,american beauty,7.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,selma a czech immigrant on the verge of blindness struggles to make ends meet for herself and her son who has inherited the same genetic disorder and will suffer the same fate without an expensive operation when life gets too difficult selma learns to cope through her love of musicals escaping lifes troubles  even if just for a moment  by dreaming up little numbers to the rhythmic beats of her surroundings,dancer in the dark,7.6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6,in 2257 a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity,the fifth element,7.3,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7,in a futuristic city sharply divided between the working class and the city planners the son of the citys mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences,metropolis,8.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,a pedro almodovar production in which a fatally ill mother with only two months to live creates a list of things she wants to do before she dies with out telling her family of her illness,my life without me,7.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9,jack sparrow a freewheeling 17thcentury pirate who roams the caribbean sea butts heads with a rival pirate bent on pillaging the village of port royal when the governors daughter is kidnapped sparrow decides to help the girls love save her but their seafaring mission is hardly simple,pirates of the caribbean the curse of the black pearl,7.5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
